Data;Regional;UC;Familias1;Produtos;Producao;Unidade;V.Total;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;72000;Kg;59760;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;4200;Kg;168000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;6000;Kg;21000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;32000;Kg;96000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;67500;Kg;189000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;30000;Kg;25500;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;12000;Kg;36000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Oleos;100;Kg;2000;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;30;Kg;100;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;240;Kg;720;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;240;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;800;Kg;300;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;50;Unidade;750;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;50;Unidade;750;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;220;Unidade;2240;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;70;Unidade;450;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;12;Forma;160;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;1200;Kg;4080;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;50;Unidade;750;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;3600;Kg;9600;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;180;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;800;Kg;2625;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;6000;Kg;14400;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;2400;Kg;1680;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;50;Unidade;600;;;
